milestone	old_frames	old_minutes
enter_L1	19729	5.5
aquamentus	30232	8.4
white_sword	35902	10.0
enter_L4	41617	11.5
gleeok	64664	17.9
L4_done	65753	18.2
enter_L2	70869	19.7
L2_done	77073	21.4
enter_L5	80664	22.4
L5_done	97594	27.1
enter_L6	109220	30.3
gohma	188105	52.2
L6_done	188974	52.4
enter_L7	192387	53.4
L7_done	248177	68.8
enter_L8	256496	71.1
L8_done	287066	79.6
enter_L9	299811	83.1
ms_sword	320222	88.8
s9_silver	360119	99.9
g9_ganon	368491	102.2
g9_credits	372090	103.2
