idx	name	frames	level	room	what
0	start				start_policy, lambda emu, s: s.sword >= 1 and s.mode == 5 and s.level == 0, 8
1	ow_76				
2	ow_66				
3	ow_65				
4	ow_64				
5	ow_63				
6	ow_73				
7	ow_74				
8	enter_L3				lambda nav: enter_level_policy(nav, 3), lambda emu, s: s.level == 3 and s.mode == 5 and s.hearts > 0, 20
9	7c_left				
10	7b_key				
11	6b_up				
12	5b_bombs				
13	4b_left				
14	4a_bombs				
15	49_key				
16	59_fight				
17	69_stairs				lambda nav: make_lareach_policy(nav, Goal(208, 141, 6), exit_ok=True), lambda emu, s: s.hearts > 0 and s.room == 0x0F and s.mode == 9, 40
18	cellar				cellar_policy, lambda emu, s: s.hearts > 0 and emu.byte(0x660) == 1 and s.room == 0x69 and s.mode == 5, 30
19	69_up				"lambda nav: make_lareach_policy(nav, Goal(120, 77, 4), then_exit=""Up""), lambda emu, s: s.hearts > 0 and s.room == 0x59 and s.mode == 5, 40"
20	59_up				
21	49_right				
22	4a_right				
23	4b_right				
24	4c_bomb				"lambda nav: bomb_policy(nav, ""Right"", 0x4D), lambda emu, s: s.room == 0x4D and s.mode == 5 and s.hearts > 0, 40"
25	manhandla				manhandla_policy, lambda emu, s: s.room == 0x4D and not parts(emu) and s.hearts > 0, 60
26	L3_done				lambda nav: triforce_policy(nav, 0x04), lambda emu, s: bool(emu.byte(0x671) & 0x04), 10
27	warp_L3	162	0	74	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
28	ow1_73	210	0	73	
29	ow1_63	290	0	63	
30	ow1_64	243	0	64	
31	ow1_65	359	0	65	
32	ow1_66	348	0	66	
33	ow1_67	380	0	67	
34	ow1_68	401	0	68	
35	ow1_58	275	0	58	
36	ow1_48	209	0	48	
37	ow1_38	302	0	38	
38	ow1_37	325	0	37	
39	enter_L1	303	1	73	lambda nav: enter_level_policy(nav, 1), lambda emu, s: s.level == 1 and s.mode == 5 and s.hearts > 0, 20
40	l1_72	323	1	72	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x72), 30"
41	l1_72_key	558	1	73	"lambda nav: make_clear_grab_policy(nav, ""Right""), ok(0x73, keys=1), 60"
42	l1_74	362	1	74	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x74), 30"
43	l1_74_key	682	1	73	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x73, keys=2), 60"
44	l1_63	295	1	63	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x63), 40"
45	l1_53	400	1	53	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x53), 40"
46	l1_53_key	299	1	53	lambda nav: make_clear_grab_policy(nav, None), cleared, 60
47	l1_52	319	1	52	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x52), 40"
48	l1_42	283	1	42	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x42), 40"
49	l1_43	344	1	43	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x43), 40"
50	l1_33	377	1	33	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x33), 40"
51	l1_33_key	617	1	23	"lambda nav: make_grab_policy(nav, ""Up""), ok(0x23), 50"
52	l1_23_key	436	1	23	lambda nav: make_clear_grab_policy(nav, None), cleared, 40
53	l1_22	348	1	22	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x22), 40"
54	l1_bow_st	369	1	7f	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 30
55	l1_bow	816	1	22	lambda nav: cellar_item_policy(nav, 0x65A), lambda emu, s: s.hearts > 0 and emu.byte(0x65A) == 1 and s.room == 0x22 and s.mode == 5, 30
56	l1_b23	476	1	23	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x23), 30"
57	l1_b33	279	1	33	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x33), 30"
58	l1_b43	275	1	43	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x43), 30"
59	l1_44	331	1	44	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x44), 40"
60	l1_44_boom	738	1	45	"lambda nav: make_clear_grab_policy(nav, ""Right""), ok(0x45), 60"
61	l1_45_key	1168	1	35	"lambda nav: make_clear_grab_policy(nav, ""Up""), ok(0x35), 60"
62	aquamentus	408	1	35	lambda nav: make_lafight_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x35 and not read_enemies(emu), 60
63	L1_done	938	0	36	"lambda nav: triforce_policy(nav, 0x01, ""Right""), lambda emu, s: bool(emu.byte(0x671) & 0x01), 12"
64	warp_L1	162	0	37	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
65	ws_38	296	0	38	
66	ws_28	848	0	28	
67	ws_29	233	0	29	
68	ws_2a	350	0	2a	
69	ws_2b	397	0	2b	
70	ws_2c	350	0	2c	
71	ws_1c	273	0	1c	
72	ws_1b	218	0	1b	
73	ws_1a	332	0	1a	
74	ws_0a	214	0	0a	
75	white_sword	1059	0	0a	lambda nav: cave_item_policy(nav, 0x657), lambda emu, s: s.sword >= 2 and s.mode == 5 and s.level == 0 and s.hearts > 0, 60
76	l4w00_1a	337	0	1a	
77	l4w01_1b	267	0	1b	
78	l4w02_1a	109	0	1a	
79	l4w03_19	315	0	19	
80	l4w04_18	1199	0	18	
81	l4w05_17	320	0	17	
82	l4w06_27	170	0	27	
83	l4w07_28	288	0	28	
84	l4w08_38	246	0	38	
85	l4w09_48	319	0	48	
86	l4w10_47	306	0	47	
87	l4w11_46	294	0	46	
88	l4w12_56	218	0	56	
89	l4w13_55	699	0	55	
90	l4_sail	323	0	45	dock_policy, lambda emu, s: s.room == 0x45 and s.mode == 5 and s.hearts > 0, 20
91	enter_L4	305	4	71	lambda nav: enter_level_policy(nav, 4), lambda emu, s: s.level == 4 and s.mode == 5 and s.hearts > 0, 20
92	l4_70	323	4	70	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x70), 40"
